Step,AgentID,State,Stand,Type
0,A1,SCHEDULED,,
0,A2,SCHEDULED,,
0,A3,SCHEDULED,,
0,A4,SCHEDULED,,
0,A5,SCHEDULED,,
0,A6,SCHEDULED,,
0,A7,SCHEDULED,,
0,A8,SCHEDULED,,
0,A9,SCHEDULED,,
0,A10,SCHEDULED,,
1,A1,PARKED,C30,PLB
1,A2,SCHEDULED,,
1,A3,SCHEDULED,,
1,A4,SCHEDULED,,
1,A5,SCHEDULED,,
1,A6,SCHEDULED,,
1,A7,SCHEDULED,,
1,A8,SCHEDULED,,
1,A9,SCHEDULED,,
1,A10,SCHEDULED,,
2,A1,PARKED,C30,PLB
2,A2,SCHEDULED,,
2,A3,SCHEDULED,,
2,A4,SCHEDULED,,
2,A5,SCHEDULED,,
2,A6,SCHEDULED,,
2,A7,SCHEDULED,,
2,A8,SCHEDULED,,
2,A9,SCHEDULED,,
2,A10,SCHEDULED,,
3,A1,PARKED,C30,PLB
3,A2,SCHEDULED,,
3,A3,SCHEDULED,,
3,A4,SCHEDULED,,
3,A5,SCHEDULED,,
3,A6,SCHEDULED,,
3,A7,SCHEDULED,,
3,A8,SCHEDULED,,
3,A9,SCHEDULED,,
3,A10,SCHEDULED,,
4,A1,PARKED,C30,PLB
4,A2,SCHEDULED,,
4,A3,SCHEDULED,,
4,A4,SCHEDULED,,
4,A5,SCHEDULED,,
4,A6,SCHEDULED,,
4,A7,SCHEDULED,,
4,A8,SCHEDULED,,
4,A9,SCHEDULED,,
4,A10,SCHEDULED,,
5,A1,PARKED,C30,PLB
5,A2,SCHEDULED,,
5,A3,SCHEDULED,,
5,A4,SCHEDULED,,
5,A5,SCHEDULED,,
5,A6,SCHEDULED,,
5,A7,SCHEDULED,,
5,A8,SCHEDULED,,
5,A9,SCHEDULED,,
5,A10,SCHEDULED,,
6,A1,PARKED,C30,PLB
6,A2,SCHEDULED,,
6,A3,SCHEDULED,,
6,A4,SCHEDULED,,
6,A5,SCHEDULED,,
6,A6,SCHEDULED,,
6,A7,SCHEDULED,,
6,A8,SCHEDULED,,
6,A9,SCHEDULED,,
6,A10,SCHEDULED,,
7,A1,PARKED,C30,PLB
7,A2,SCHEDULED,,
7,A3,SCHEDULED,,
7,A4,SCHEDULED,,
7,A5,SCHEDULED,,
7,A6,SCHEDULED,,
7,A7,SCHEDULED,,
7,A8,SCHEDULED,,
7,A9,SCHEDULED,,
7,A10,SCHEDULED,,
8,A1,PARKED,C30,PLB
8,A2,SCHEDULED,,
8,A3,SCHEDULED,,
8,A4,SCHEDULED,,
8,A5,SCHEDULED,,
8,A6,SCHEDULED,,
8,A7,SCHEDULED,,
8,A8,SCHEDULED,,
8,A9,SCHEDULED,,
8,A10,SCHEDULED,,
9,A1,PARKED,C30,PLB
9,A2,SCHEDULED,,
9,A3,SCHEDULED,,
9,A4,SCHEDULED,,
9,A5,SCHEDULED,,
9,A6,SCHEDULED,,
9,A7,SCHEDULED,,
9,A8,SCHEDULED,,
9,A9,SCHEDULED,,
9,A10,SCHEDULED,,
10,A1,PARKED,C30,PLB
10,A2,SCHEDULED,,
10,A3,SCHEDULED,,
10,A4,SCHEDULED,,
10,A5,SCHEDULED,,
10,A6,SCHEDULED,,
10,A7,SCHEDULED,,
10,A8,SCHEDULED,,
10,A9,SCHEDULED,,
10,A10,SCHEDULED,,
11,A1,PARKED,C30,PLB
11,A2,PARKED,C31,PLB
11,A3,SCHEDULED,,
11,A4,SCHEDULED,,
11,A5,SCHEDULED,,
11,A6,SCHEDULED,,
11,A7,SCHEDULED,,
11,A8,SCHEDULED,,
11,A9,SCHEDULED,,
11,A10,SCHEDULED,,
12,A1,PARKED,C30,PLB
12,A2,PARKED,C31,PLB
12,A3,SCHEDULED,,
12,A4,SCHEDULED,,
12,A5,SCHEDULED,,
12,A6,SCHEDULED,,
12,A7,SCHEDULED,,
12,A8,SCHEDULED,,
12,A9,SCHEDULED,,
12,A10,SCHEDULED,,
13,A1,PARKED,C30,PLB
13,A2,PARKED,C31,PLB
13,A3,SCHEDULED,,
13,A4,SCHEDULED,,
13,A5,SCHEDULED,,
13,A6,SCHEDULED,,
13,A7,SCHEDULED,,
13,A8,SCHEDULED,,
13,A9,SCHEDULED,,
13,A10,SCHEDULED,,
14,A1,PARKED,C30,PLB
14,A2,PARKED,C31,PLB
14,A3,SCHEDULED,,
14,A4,SCHEDULED,,
14,A5,SCHEDULED,,
14,A6,SCHEDULED,,
14,A7,SCHEDULED,,
14,A8,SCHEDULED,,
14,A9,SCHEDULED,,
14,A10,SCHEDULED,,
15,A1,PARKED,C30,PLB
15,A2,PARKED,C31,PLB
15,A3,SCHEDULED,,
15,A4,SCHEDULED,,
